"stationName","lineName","operatorName","stationCode","externalCode","branchKey","destinationName","displayLabel","previousStation","nextStation","priority","isActive","note","searchTokens"
"신정네거리","2호선","서울교통공사","0249","234-3","2호선-신정지선","신도림행","신정네거리역 2호선 신도림행","신대방","까치산","1","true","신정지선 중간역","2호선|2호선역|신도림|신도림행|신도림행역|신정네거리|신정네거리역|신정네거리역 2호선 신도림|신정네거리역 2호선 신도림행|신정네거리역 2호선 신도림행역"
"양천구청","2호선","서울교통공사","0248","234-2","2호선-신정지선","신도림행","양천구청역 2호선 신도림행","구로디지털단지","신대방","1","true","신정지선 중간역","2호선|2호선역|신도림|신도림행|신도림행역|양천구청|양천구청역|양천구청역 2호선 신도림|양천구청역 2호선 신도림행|양천구청역 2호선 신도림행역"
"용답","2호선","서울교통공사","0244","211-1","2호선-성수지선","성수행","용답역 2호선 성수행","뚝섬","신답","1","true","지선 복귀","2호선|2호선역|성수|성수행|성수행역|용답|용답역|용답역 2호선 성수|용답역 2호선 성수행|용답역 2호선 성수행역"
"대화","3호선","코레일","1958","309","3호선-본선","오금행","대화역 3호선 오금행","","주엽","1","true","단순 본선","3호선|3호선역|대화|대화역|대화역 3호선 오금|대화역 3호선 오금행|대화역 3호선 오금행역|오금|오금행|오금행역"
"오금","3호선","서울교통공사","0342","352","3호선-본선","대화행","오금역 3호선 대화행","경찰병원","","1","true","단순 본선","3호선|3호선역|대화|대화행|대화행역|오금|오금역|오금역 3호선 대화|오금역 3호선 대화행|오금역 3호선 대화행역"
"오이도","4호선","코레일","1762","456","4호선-본선","진접행","오이도역 4호선 진접행","정왕","","1","true","단순 본선","4호선|4호선역|오이도|오이도역|오이도역 4호선 진접|오이도역 4호선 진접행|오이도역 4호선 진접행역|진접|진접행|진접행역"
"진접","4호선","남양주도시공사","0405","405","4호선-본선","오이도행","진접역 4호선 오이도행","","오남","1","true","단순 본선","4호선|4호선역|오이도|오이도행|오이도행역|진접|진접역|진접역 4호선 오이도|진접역 4호선 오이도행|진접역 4호선 오이도행역"
"강동","5호선","서울교통공사","2549","548","5호선-하남연장","하남검단산행","강동역 5호선 하남검단산행","천호(풍납토성)","길동","1","true","하남 연장 분기점","5호선|5호선역|강동|강동역|강동역 5호선 하남검단산|강동역 5호선 하남검단산행|강동역 5호선 하남검단산행역|하남검단산|하남검단산행|하남검단산행역"
"강동","5호선","서울교통공사","2549","548","5호선-마천지선","마천행","강동역 5호선 마천행","천호(풍납토성)","길동","2","true","마천 지선 분기점","5호선|5호선역|강동|강동역|강동역 5호선 마천|강동역 5호선 마천행|강동역 5호선 마천행역|마천|마천행|마천행역"
"거여","5호선","서울교통공사","2560","P554","5호선-마천지선","마천행","거여역 5호선 마천행","강일","마천","1","true","마천 지선 중간","5호선|5호선역|거여|거여역|거여역 5호선 마천|거여역 5호선 마천행|거여역 5호선 마천행역|마천|마천행|마천행역"
